6327, Carbon credits, \/Business-farming-industry\/Carbon-credits, 1, 0.0000
6328, Badges, \/Antiques-collectables\/Militaria\/Badges, 1, 0.0000
6331, Automotive & aviation, \/Books\/Magazines\/Automotive-aviation, null, 
6333, Royalty, \/Books\/Nonfiction\/Biography\/Royalty, 1, 0.0000
6335, Cats, \/Books\/Nonfiction\/Pets\/Cats, 1, 0.0000
6329, Home & garden, \/Books\/Magazines\/Home-garden, 1, 0.0000
6330, Business & technology, \/Books\/Magazines\/Business-technology, 1, 0.0000
6332, Art & craft, \/Books\/Magazines\/Art-craft, 1, 0.0000
6334, Dogs, \/Books\/Nonfiction\/Pets\/Dogs, 1, 0.0000
6336, Fish, \/Books\/Nonfiction\/Pets\/Fish, 1, 0.0000
6327, Carbon credits, \/Business-farming-industry\/Carbon-credits, 1, 0.0000
6328, Badges, \/Antiques-collectables\/Militaria\/Badges, 1, 0.0000
6329, Home & garden, \/Books\/Magazines\/Home-garden, 1, 0.0000
6330, Business & technology, \/Books\/Magazines\/Business-technology, 1, 0.0000
6327, Carbon credits, \/Business-farming-industry\/Carbon-credits, 1, 0.0000
6328, Badges, \/Antiques-collectables\/Militaria\/Badges, 1, 0.0000
6331, Automotive & aviation, \/Books\/Magazines\/Automotive-aviation, null, 
6333, Royalty, \/Books\/Nonfiction\/Biography\/Royalty, 1, 0.0000
6335, Cats, \/Books\/Nonfiction\/Pets\/Cats, 1, 0.0000
6329, Home & garden, \/Books\/Magazines\/Home-garden, 1, 0.0000
6330, Business & technology, \/Books\/Magazines\/Business-technology, 1, 0.0000
6332, Art & craft, \/Books\/Magazines\/Art-craft, 1, 0.0000
6334, Dogs, \/Books\/Nonfiction\/Pets\/Dogs, 1, 0.0000
6336, Fish, \/Books\/Nonfiction\/Pets\/Fish, 1, 0.0000
6327, Carbon credits, \/Business-farming-industry\/Carbon-credits, 1, 0.0000
6328, Badges, \/Antiques-collectables\/Militaria\/Badges, 1, 0.0000
6329, Home & garden, \/Books\/Magazines\/Home-garden, 1, 0.0000
6330, Business & technology, \/Books\/Magazines\/Business-technology, 1, 0.0000
